Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C9",0603,4,1uF,
"C3, C4, C7",0603,3,10uF,
"C5, C6, C8",0603,3,0.1uF,
"J1, J2, J3",USB_A_TE_292303-7_Horizontal,3,USB_A,
"J5, J7",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
"R3, R4, R5, R6",0603,4,5.1k,
U1,SO16,1,SL2.1A,
