C10:1
C11:1
C12:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
J1:1
J2:1
J3:1
J5:1
J7:1
R3:1
R4:1
R5:1
R6:1
U1:1
